id,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Height_is_zero,Volume,Density,Shucked_ratio,Viscera_ratio,Shell_ratio,Shell_to_shucked,Sex_F,Sex_I,Sex_M,Area,Diameter_to_Length,Height_to_Length,Height_to_Diameter,Component_weight_sum,Component_sum_ratio,Residual_weight,Residual_weight_ratio,Whole_weight_to_Length,Whole_weight_to_Area,Whole_weight_to_Volume,Shucked_to_Shell,Viscera_to_Shell,log1p_Length,log1p_Diameter,log1p_Height,log1p_Whole_weight,log1p_Shucked_weight,log1p_Viscera_weight,log1p_Shell_weight,log1p_Volume,log1p_Density,Rings
-1,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,0,0.015777125,32.57881267974996,0.4367704280155642,0.19649805447470817,0.29182879377431903,0.6681514476614699,0,0,1,0.166075,0.8021978021978021,0.2087912087912088,0.2602739726027397,0.47550000000000003,0.9250972762645915,0.03849999999999998,0.07490272373540852,1.1296703296703297,3.094987204576246,32.57881267974996,1.4966666666666668,0.6733333333333335,0.37500590062345585,0.31115442863692305,0.09075436326846414,0.41475515501525706,0.2025325974100854,0.09621885774054292,0.13976194237515868,0.0156539599347544,3.51389529306568,15
-2,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,0,0.008347499999999999,27.01407607067985,0.4412416851441242,0.21507760532150777,0.31042128603104213,0.7035175879396985,0,0,1,0.09275,0.7571428571428572,0.2571428571428572,0.33962264150943394,0.21800000000000003,0.9667405764966741,0.007499999999999979,0.03325942350332585,0.6442857142857144,2.431266846361186,27.01407607067985,1.4214285714285713,0.6928571428571428,0.30010459245033805,0.23507212217948356,0.08617769624105233,0.20334892398603022,0.09485553101267882,0.04736057135983759,0.06765864847381481,0.008312852302777432,3.3327071006654365,7
-3,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,0,0.030051,22.528368440318125,0.37887740029542094,0.2090103397341211,0.310192023633678,0.8187134502923976,1,0,0,0.2226,0.7924528301886792,0.25471698113207547,0.32142857142857145,0.608,0.89807976366322,0.06900000000000006,0.10192023633677999,1.2773584905660378,3.0413297394429475,22.528368440318125,1.2214285714285715,0.6738095238095237,0.4252677354043441,0.35065687161316933,0.126632650933366,0.5170064828410719,0.2283300780015098,0.13234318698771316,0.19062035960864973,0.029608315578845683,3.1582068607821823,9
-4,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,0,0.020075,25.703611457036118,0.41763565891472865,0.22093023255813954,0.3003875968992248,0.7192575406032483,0,0,1,0.1606,0.8295454545454545,0.2840909090909091,0.3424657534246575,0.48450000000000004,0.938953488372093,0.03149999999999997,0.06104651162790692,1.1727272727272728,3.2129514321295147,25.703611457036118,1.3903225806451613,0.7354838709677419,0.3646431135879093,0.31115442863692305,0.11778303565638346,0.41607528722017995,0.195155514774041,0.10795714150509228,0.14410034397375684,0.019876154004789728,3.284798816822469,10
-5,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,0,0.006732,30.451574569221627,0.43658536585365854,0.1926829268292683,0.2682926829268293,0.6145251396648045,0,1,0,0.08415,0.7727272727272727,0.24242424242424243,0.3137254901960784,0.184,0.8975609756097561,0.02099999999999999,0.10243902439024387,0.6212121212121211,2.43612596553773,30.451574569221627,1.6272727272727272,0.7181818181818181,0.28517894223366236,0.22713557258374723,0.07696104113612832,0.1864795669426183,0.0857188754025375,0.03873982831593056,0.05354076692802982,0.006709441274963372,3.44844904768721,7
-6,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,0,0.0121125,29.019607843137255,0.4011379800853485,0.22048364153627312,0.34139402560455195,0.851063829787234,0,1,0,0.1275,0.7058823529411765,0.2235294117647059,0.3166666666666667,0.33849999999999997,0.9630156472261735,0.013000000000000012,0.036984352773826494,0.8270588235294117,2.756862745098039,29.019607843137255,1.1749999999999998,0.6458333333333334,0.35417181372061385,0.262364264467491,0.09075436326846414,0.3012150867343652,0.13190507087993858,0.0746435429957658,0.11332868530700317,0.01203973069469617,3.401850762933358,8
-7,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,0,0.0329925,23.56596196105175,0.3048231511254019,0.1819935691318328,0.4244372990353698,1.3924050632911393,1,0,0,0.21995,0.7830188679245282,0.2830188679245283,0.3614457831325301,0.7084999999999999,0.9112540192926044,0.06900000000000006,0.08874598070739557,1.4669811320754715,3.534894294157763,23.56596196105175,0.7181818181818181,0.4287878787878787,0.4252677354043441,0.3471295310952009,0.13976194237515868,0.5752078826952589,0.21268909341035083,0.13234318698771316,0.28517894223366236,0.032459929704561845,3.201361824676876,20
-8,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,0,0.028953125,26.52563410685375,0.38281249999999994,0.19466145833333331,0.3385416666666667,0.8843537414965987,1,0,0,0.231625,0.7798165137614678,0.2293577981651376,0.29411764705882354,0.7035,0.916015625,0.0645,0.083984375,1.4091743119266054,3.315704263356719,26.52563410685375,1.1307692307692307,0.575,0.43502391034970883,0.35417181372061385,0.11778303565638346,0.5698489642154517,0.2577381960787088,0.1393270652210992,0.23111172096338664,0.02854190187844045,3.3151177198312594,16
-9,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,0,0.02196875,23.19203413940256,0.4249263984298332,0.2208047105004907,0.32384690873405303,0.7621247113163973,0,0,1,0.17575,0.7789473684210526,0.2631578947368421,0.33783783783783783,0.494,0.9695780176643769,0.015499999999999958,0.03042198233562308,1.0726315789473684,2.89900426742532,23.19203413940256,1.312121212121212,0.6818181818181818,0.3886579897917832,0.31481073984003355,0.11778303565638346,0.4117784701647564,0.19597788324144025,0.10660973505825823,0.1527210870176639,0.021730914014604624,3.1860234111817483,9
-10,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,0,0.0363,24.641873278236915,0.3515930687534936,0.16880939072107323,0.35774175517048634,1.0174880763116056,1,0,0,0.24200000000000002,0.7999999999999999,0.2727272727272727,0.3409090909090909,0.7855000000000001,0.8781442146450532,0.10899999999999987,0.12185578535494676,1.6263636363636362,3.6962809917355366,24.641873278236915,0.9828125,0.471875,0.4382549309311553,0.3646431135879093,0.13976194237515868,0.6389549514765184,0.27345636518779887,0.1406311297397456,0.2776317365982795,0.035656677208034684,3.2442266901573316,19
