id,Rings,pred_v2_lgbm_log,pred_v2_te_lgbm_log
0,11,9.968883166110764,10.069584601915809
1,11,10.242477312883496,10.340163578096453
2,6,3.992019811013513,4.11721661141647
3,10,9.957398824904736,10.167830371977287
4,9,8.722826117053648,8.452038873947542
5,10,10.21897329491244,9.604032786629595
6,9,9.076856665707616,9.04043149033846
7,9,9.872803969398538,9.976470830156362
8,4,4.252122034543132,4.40632366067061
9,8,8.367163626990202,8.311444209650446
10,8,9.296687936786439,9.213201254297795
11,11,9.986348028304565,10.162584691611325
12,15,10.475458588170918,10.910903223435426
13,7,8.191814412351063,7.954077736028228
14,10,9.434380961266871,9.495803605617102
15,11,12.029383237103279,11.863220855398891
16,8,6.511647368882845,6.648391878796096
17,12,11.939001370439648,13.980091140909567
18,8,7.701119736438759,8.050813939232487
19,7,7.685396674159482,8.41488105269131
20,8,8.325349110144392,8.259364079982548
21,9,8.869098114730352,8.97695994990106
22,10,11.650221753654936,11.45049750530303
23,10,11.131829006173676,11.747419559433805
24,9,9.091749161481479,9.280082991396892
25,8,9.438394795255556,9.208110514899325
26,8,8.444417258176896,8.269699944615656
27,20,12.513542807534387,12.77507038833365
28,4,4.050700723012999,4.20222497339506
29,20,16.97795487336601,16.79728293074923
30,7,6.500842100151223,6.476082135452519
31,9,8.268460941533723,8.325902475132544
32,12,11.366348831162586,11.008055200539347
33,8,7.165701344257664,7.134483722009722
34,10,10.22246627268325,10.641714637430233
35,9,10.027699780426492,10.22158141163284
36,4,4.250668860152795,4.332990811704811
37,17,11.001161366501938,11.576907373920445
38,9,8.204114735497177,8.136226776416967
39,6,6.82122788038614,6.7010663602545675
40,6,6.1058232488736195,6.078722480272633
41,7,7.569841652733558,7.530010326538764
42,7,6.89515798217676,6.913550703618272
43,9,9.455104164309057,9.335487581178407
44,10,8.777477161753566,8.811992113256478
45,6,5.8078002117239675,5.895505853338436
46,8,9.160096056324274,8.785746678659242
47,13,11.827636216218941,11.39837922687482
48,7,8.33711293138531,8.288471805754293
49,14,14.800289394379403,14.281163636957483
50,9,8.160918028126053,8.24461427346078
51,9,9.174525021088149,9.338312667762454
52,8,8.035558089044361,8.049549908887734
53,13,12.629167805655236,12.844201729234278
54,13,9.50181125103035,9.361625679589256
55,9,8.729712452765048,8.323855161430117
56,10,8.643553816407959,9.081902211528057
57,9,8.013149258685127,7.965749044228334
58,10,10.158550343861732,10.434568104588239
59,7,6.75665861361885,6.673919056115947
60,10,9.239892418316876,9.388444558868695
61,14,13.47279387753926,12.64747452168134
